description,direccion,fot,irregular,medidas,esquina,barrio,frentes,pileta,urb_cerrada,posesion,urb_semicerrada,preventa,indiviso,a_demoler,es_multioferta,es_monetizable,loteo_ph
"Casa en barrio cerrado San Facundo, 3 dormitorios uno con baño en suite, cocina comedor, living, pileta, quincho, entrada de autos",,,,,,,,True,True,,,,,,,True,
"Barrio Cerrado La Elisa importante propiedad desarrollada en una planta. Amplio living comedor con salida a la galería con vista a la piscina. Dos dormitorios, el principal con vestidor y baño en suit, playrom o tercer dormitorio. Dependencias de servicio con dormitorio y baño privado, lavadero. y cocina comedor. Cochera cubierta para dos vehículos.",,,,,,Barrio Cerrado La Elisa,,True,True,,,,,,,True,
"Excelente cabaña en Prados de La Vega, cuenta con 3 dormitorios, living comedor con cocina integrada, baño completo, galeria, cochera para 2 autos, excelente arbolada, y tanque industrial (pileta).",,,,,,,,True,,,,,,,,True,
"Casa construida en 2 plantas en el Barrio Cerrado Trapalanda, sobre la ruta 5. En planta baja: living, comedor, cocina integrada, 3 dormitorios, uno en suite, toilette. Lavadero separado, dependencia de servicio con baño completo. Planta alta: 2 dormitorios, uno en suite con vestidor. Jardin, galeria, pileta, parrilla",,,,,,Barrio Cerrado Trapalanda,,True,True,,,,,,,True,
"Este impresionante chalet revestido en piedra, de techo de tejas rojas, aberturas de madera artesanales, luminoso, espacioso y funcional, está ubicado a dos cuadras de Avenida Sarmiento, a dos cuadras de Avenida 3 de Febrero, a 7 cuadras del centro de la ciudad y a 10 cuadras del paseo costanero, en una zona apacible y pintoresca. Construido estratégicamente en esquina, permite ambientes luminosos, ventilados y muy bien distribuidos, permitiendo una total funcionalidad. Cuenta con 4 dormitorios, 3 baños, cocina con desayunador, comedor, amplia sala, lavadero, patio con parrilla, jardín y una pequeña pileta.",,,,,True,,3,True,,,,,,,,True,
"ESTRUCTURA JURíDICA: Fideicomiso a precio cerrado. EL VALOR PUBLICADO ES CONTADO EFECTIVO. Medidas: 15.5 x 25 m La entrega del barrio esta programada para mediados 2026, no obstante, se permitirá dar inicio a las obras particulares a fines del 2022. FORMA DE PAGO: Opción A: Contado en USD Opción B: 50 % anticipo USD + Cuotas hasta Dicembre 2024 U$S98.813. UBICACIóN: A 200 mt de la bajada de Ruta 26, Ramal Pilar km 41.5. ESQUEMA DE RETIROS: INFORMACIóN GENERAL: Los lotes rondan los 375 a 400 mts 2. Superficie a construir mínima inicial permitida es de 120 m2 FOS: 0.4 FOT: 0.7 Retiro frente: 3 metros Retiro lateral: 1) 3.00 mt 2) 1.15 mt Retiro Fondo mínimo: 8.00 mt. Pileta despegada de los ejes medianeros 1.50 mt. INFRAESTRUCTURA: Calles internas asfaltadas / hormigón intertrabado con cuneta. Redes subterráneas de electricidad, agua, cloaca y gas. Alumbrado Público. Pilares de servicios. Edificio de acceso. Club House. Amenities ",,FOT: 0.7,,15.5 x 25,,Club House,,True,True,,,True,,,,True,
"Excelente casa a estrenar al agua! Barrio Cerrado Ceibos de Puertos del Lago. Excelente calidad constructiva. Posibilidad de financiación a cargo de la constructora con el 70% de anticipo y 30% hasta 24 cuotas fijas en dólares Sobre lote interno central, se desarrolla en dos plantas. En planta baja, living comedor principal con salida al exterior. Cocina con barra. Comedor diario. Toilete. Dependencia de servicio con baño completo. Lavadero independiente. Entrada lateral de servicio. En planta alta, dos dormitorios en semisuite. Suite junior. Master suite con vestidor. En el exterior galerÃa con parrilla. Piscina de 37 m2.",,,,,,Barrio Cerrado Ceibos de Puertos del Lago,,True,True,,,,,,,True,
"Terreno con quincho en 25 y 510. 400 mts2. El frente de 10 metros, cuenta con paredón y portón. Al ingresar se disfruta de una pileta de 3 x 7 mts con cerco perimetral. Quincho de 30 mts2. Cuenta con cocina. Espacio de comedor. Una habitación. Baño en el exterior. Espacio semi cubierto",,,,,,,,True,,,,,,,,True,
"Lote en San Justo Centro, zona Comercial / Residencial. Posee mejoras: Quincho 50 m2 con parrilla y cocina . Pileta de 4 x 8 aprox. con bomba y filtro y parque Zonificacion: C1 FOT: 3 FOS 0.60 Densidad: 900 Hab. Medidas Lote: 10 x 33.70 Superficie Total: 337 m2 VALOR DE VENTA: u$s 350.000. Honorarios por Asesoramiento: 3% + IVA Gastos por Diligenciamiento e Informes: 1% + IVA ",,FOT: 3,,10 x 33.70,,,,True,,,,,,,,True,
"Venta de 2 Lotes linderos de 10 x 45.75 cada uno, total de 20 x 45.75, con Pileta de 7 mts x 3.20 mts y Quincho (abierto) con contrapiso de 4 mts x 7 mts con parrilla y baño. en Ciudad Nueva, Nueve de Julio Medida: Frente : 20 Medida: Fondo : 45.75 (FAE FAE 585)",,,,10 x 45.75;20 x 45.75,,,,True,,,,,,,True,True,
